,id,nombre,apellido,genero,nivel_academico,edad,fecha_de_nacimiento,email,foto
0,f5f77f491648483eb21ebf3264fc8d52,Sandra,Ocampo,Femenino,1 nivel,3,2019-05-14,sandra.ocampo@educacion.edu.ec,https://www.mcb.edu.ec/sandra_ocampo.png
1,ee642d3c85dd4eb5a280fb906705450a,Elena,González,Femenino,1 nivel,2,2020-01-13,elena_gonzález@educacion.edu.ec,https://www.mcb.edu.ec/elena_gonzález.png
2,443323fe726247f3889cb181259ec50e,Jaime,Díaz,Masculino,1 nivel,2,2020-08-02,jaime_díaz@educacion.edu.ec,https://www.mcb.edu.ec/jaime_díaz.png
3,1f230a9854b445d4931a50e1da2d34e0,Fabián,Rojas,Masculino,1 nivel,3,2019-10-27,fabián.rojas@educacion.edu.ec,https://www.mcb.edu.ec/fabián_rojas.png
4,bd69e86b0ac54065ade5121769335244,Henry,Pineda,Masculino,1 nivel,2,2020-04-12,henry_pineda@educacion.edu.ec,https://www.mcb.edu.ec/henry_pineda.png
5,d9fcef831fa04af6a467743e4f162981,José,Becerra,Masculino,1 nivel,3,2019-08-18,josé.becerra@educacion.edu.ec,https://www.mcb.edu.ec/josé_becerra.png
6,7fe8f348611f4c8ca1a276a34c0b3bb1,Sofía,Flórez,Femenino,1 nivel,2,2020-01-24,sofía_flórez@educacion.edu.ec,https://www.mcb.edu.ec/sofía_flórez.png
7,b48d2dd922b643cca296a5ed83a84ea6,Juan,López,Masculino,2 nivel,5,2017-11-13,juan_lópez@educacion.edu.ec,https://www.mcb.edu.ec/juan_lópez.png
8,fafc6dadd7c44e02a705ee7ed5ff3d07,Gabriela,Cruz,Femenino,1 nivel,2,2020-02-19,gabriela.cruz@educacion.edu.ec,https://www.mcb.edu.ec/gabriela_cruz.png
9,453563541d60416aa83e11e6daf7d22d,Stella,García,Femenino,2 nivel,4,2018-01-14,stella.garcía@educacion.edu.ec,https://www.mcb.edu.ec/stella_garcía.png
10,8c5b836f11754483ab2bc639dd71e1d6,Sindy,Quiroga,Femenino,1 nivel,2,2019-12-11,sindy.quiroga@educacion.edu.ec,https://www.mcb.edu.ec/sindy_quiroga.png
11,0b8c0235e8d74a23872659f77b1dec3e,Mercedes,Miranda,Femenino,1 nivel,3,2019-04-29,mercedes_miranda@educacion.edu.ec,https://www.mcb.edu.ec/mercedes_miranda.png
12,70f6a61ea8034430b53db73f2c34b78c,Nubia,Ceballos,Femenino,2 nivel,4,2018-11-01,nubia_ceballos@educacion.edu.ec,https://www.mcb.edu.ec/nubia_ceballos.png
13,0e8d44fb099549a6bc9584686fe025d7,Jenny,Carrillo,Femenino,1 nivel,3,2019-07-06,jenny.carrillo@educacion.edu.ec,https://www.mcb.edu.ec/jenny_carrillo.png
