,id,nombre,apellido,edad,genero,Titulo,fecha_de_nacimiento,email
0,667bfd49193044f0bc80ae5811f2f5e5,Adolfo,Jiménez,36,Masculino,Tecnologo,1986-04-16,adolfo_jiménez_docente@educacion.edu.ec
1,4f7284eaa2aa460a81c1816dab318cba,María,Jaramillo,44,Femenino,Licenciado,1977-12-12,maría_jaramillo_docente@educacion.edu.ec
2,937842dd37cd462991b3fddb3c6fd189,Blanca,Vallejo,37,Femenino,Doctorado,1985-06-04,blanca.vallejo_docente@educacion.edu.ec
3,149f1765653241729e6e7645deeac84c,Lizeth,Ortiz,35,Femenino,Licenciado,1986-12-03,lizeth.ortiz_docente@educacion.edu.ec
4,ead4a0b76fc343f1aba6ad10bdbd84be,Jennifer,Guzmán,27,Femenino,Maestria,1995-06-06,jennifer.guzmán_docente@educacion.edu.ec
5,6501345697734d84bc1cc7c74950dca2,Angie,Montoya,32,Femenino,Bachillerato,1990-10-27,angie_montoya_docente@educacion.edu.ec
6,cafa2d41d6134e82a2e66e53f06925a2,Antonio,Alvarado,31,Masculino,Licenciado,1991-04-24,antonio.alvarado_docente@educacion.edu.ec
7,38369c152eca46c2b311dd00cf4fe6ed,Samuel,Álvarez,36,Masculino,Licenciado,1986-07-24,samuel.álvarez_docente@educacion.edu.ec
8,9e111f22e8654a3d9518cc8abb982f35,Francisco,Castañeda,28,Masculino,Licenciado,1993-11-30,francisco.castañeda_docente@educacion.edu.ec
9,24e01da72213424cb45896f3aaa6cdd5,Efrén,Acevedo,32,Masculino,Maestria,1990-06-05,efrén.acevedo_docente@educacion.edu.ec
10,8c864f7d5b904e1d854699f3446f3288,Alexis,Vanegas,45,Masculino,Doctorado,1977-10-14,alexis_vanegas_docente@educacion.edu.ec
11,e707db27e68147daa3579e6061af0584,Elena,Santos,38,Femenino,Tecnologo,1984-03-17,elena.santos_docente@educacion.edu.ec
12,dc37da1f36eb46a58c98ab440e420575,Alejandra,Arango,42,Femenino,Licenciado,1980-08-03,alejandra_arango_docente@educacion.edu.ec
13,0b562f7a4f36422dbaaef172555b4132,Victoria,Arrieta,32,Femenino,Licenciado,1990-10-30,victoria_arrieta_docente@educacion.edu.ec
14,6b853c1e59a545e8a2ba8ef2d575671d,Elsy,García,25,Femenino,Doctorado,1997-10-28,elsy_garcía_docente@educacion.edu.ec
15,1c79c04ac86a44439278fa7a353d2810,Margarita,Ramos,44,Femenino,Licenciado,1978-04-17,margarita_ramos_docente@educacion.edu.ec
16,26ef1125276249eeabd486e002179fd2,Herney,Barbosa,46,Masculino,Bachillerato,1976-09-16,herney.barbosa_docente@educacion.edu.ec
17,7838084b8dbf4179811ebf75df720f2b,Omaira,Ibarra,43,Femenino,Doctorado,1979-06-04,omaira.ibarra_docente@educacion.edu.ec
18,6410569c6c27431f9cd00ff9921a5938,Lucía,Acosta,30,Femenino,Licenciado,1992-03-06,lucía_acosta_docente@educacion.edu.ec
19,7311d14261a0430096114ac8192214ff,Patricia,Rosero,32,Femenino,Tecnologo,1990-09-29,patricia.rosero_docente@educacion.edu.ec
20,6e69db8b2a614c079c5ddf8943bbdd10,Nubia,Ordóñez,39,Femenino,Licenciado,1983-07-20,nubia_ordóñez_docente@educacion.edu.ec
